route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
20,2024_08_12-DX20-Weekday-01,1583645,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583646,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583647,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583648,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583649,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583650,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583651,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583653,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583654,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583655,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583652,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583656,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583657,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583658,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583659,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583660,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583661,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583662,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583663,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583664,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583665,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583667,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583668,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583669,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583666,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583670,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583671,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583672,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583673,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583674,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583675,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583676,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583677,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583678,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583679,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583680,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583681,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583682,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583683,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583684,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583685,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583686,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583687,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583688,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583690,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583691,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583692,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583689,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583693,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583694,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583695,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583696,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583697,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583698,"Oakland Airport",1,,020_shp,,1,1
20,2024_08_12-DX20-Weekday-01,1583699,"Oakland Airport",1,,020_shp,,1,1
